RowName,P,Spring1,Spring2,Spring3,Spring4,Triangles,Spring5,Spring6
0,"(-5.0, 0.0, -5.0)","(0, 1)","(0, 10)","(0, 11)",(),"(0, 1, 11, 11, 10, 0)","(0, 20)","(0, 2)"
1,"(-3.8888888359069824, 0.0, -5.0)","(1, 2)","(1, 11)","(1, 12)","(1, 10)","(1, 2, 12, 12, 11, 1)","(1, 21)","(1, 3)"
2,"(-2.777777671813965, 0.0, -5.0)","(2, 3)","(2, 12)","(2, 13)","(2, 11)","(2, 3, 13, 13, 12, 2)","(2, 22)","(2, 4)"
3,"(-1.6666665077209473, 0.0, -5.0)","(3, 4)","(3, 13)","(3, 14)","(3, 12)","(3, 4, 14, 14, 13, 3)","(3, 23)","(3, 5)"
4,"(-0.5555553436279297, 0.0, -5.0)","(4, 5)","(4, 14)","(4, 15)","(4, 13)","(4, 5, 15, 15, 14, 4)","(4, 24)","(4, 6)"
5,"(0.5555558204650879, 0.0, -5.0)","(5, 6)","(5, 15)","(5, 16)","(5, 14)","(5, 6, 16, 16, 15, 5)","(5, 25)","(5, 7)"
6,"(1.6666669845581055, 0.0, -5.0)","(6, 7)","(6, 16)","(6, 17)","(6, 15)","(6, 7, 17, 17, 16, 6)","(6, 26)","(6, 8)"
7,"(2.777778148651123, 0.0, -5.0)","(7, 8)","(7, 17)","(7, 18)","(7, 16)","(7, 8, 18, 18, 17, 7)","(7, 27)","(7, 9)"
8,"(3.8888893127441406, 0.0, -5.0)","(8, 9)","(8, 18)","(8, 19)","(8, 17)","(8, 9, 19, 19, 18, 8)","(8, 28)",()
9,"(5.0, 0.0, -5.0)",(),"(9, 19)",(),"(9, 18)",(),"(9, 29)",()
10,"(-5.0, 0.0, -3.8888888359069824)","(10, 11)","(10, 20)","(10, 21)",(),"(10, 11, 21, 21, 20, 10)","(10, 30)","(10, 12)"
11,"(-3.8888888359069824, 0.0, -3.8888888359069824)","(11, 12)","(11, 21)","(11, 22)","(11, 20)","(11, 12, 22, 22, 21, 11)","(11, 31)","(11, 13)"
